Reference, Value,, Footprint, Datasheet
J7,E0,,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",~
J8,FAN_CASE,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~
J9,PWR_IN,,TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-4-5.08_1x04_P5.08mm_Horizontal,~
J10,PART_FAN,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~
J11,FAN_HEATSINK,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~
J12,T_BED,,Connector_JST:JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical,~
J13,T_E0,,Connector_JST:JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical,~
J14,I2C/SPI,,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,~
J15,AUX1,,Connector_IDC:IDC-Header_2x04_P2.54mm_Vertical,~
J16,USB_B_Micro,,Connector_USB:USB_Micro-B_Molex-105017-0001,~
J17,CS_PINS,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~
J21,X_MOTOR,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~
J22,Z_MOTOR,,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,~
J23,Y_MOTOR,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~
J24,E0_MOTOR,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,~
JP1,X_MS1,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP2,Y_MS1,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP3,Z_MS1,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP4,E0_MS1,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP5,X_MS2,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP6,Y_MS2,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP7,Z_MS2,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP8,E0_MS2,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP9,X_MS3,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP10,Y_MS3,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP11,Z_MS3,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP12,E0_MS3,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP13,X_RST,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP14,Y_RST,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP15,Z_RST,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP16,E0_RST,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
JP17,VUSB_EN,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~
JP18,PWR_SEL,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
